category,rank,geography,score
fundamentals,78,Haiti,1.5469179473
opportunities,93,Haiti,0.5285716602
experience,73,Haiti,0.7906748041
overall,50,Honduras,1.6182982298
fundamentals,65,Honduras,1.8303732846
opportunities,96,Honduras,0.4557734718
experience,7,Honduras,2.3566728783
overall,4,India,2.2711250557
fundamentals,6,India,3.1220080411
opportunities,36,India,1.0758253935
experience,18,India,1.764658747
overall,54,Indonesia,1.5675286066
fundamentals,56,Indonesia,1.941688391
opportunities,55,Indonesia,0.8662609369
experience,32,Indonesia,1.5204767074
overall,60,Iraq,1.5363634838
fundamentals,27,Iraq,2.4743086585
opportunities,49,Iraq,0.9183423002
experience,94,Iraq,0.2784943182
overall,82,Jamaica,1.1343308862
fundamentals,88,Jamaica,1.3515457936
opportunities,66,Jamaica,0.766304159
experience,55,Jamaica,1.0679277986
overall,2,Jordan,2.5346924032
fundamentals,4,Jordan,3.2368878796
opportunities,8,Jordan,1.5103493896
experience,9,Jordan,2.154644464
overall,12,Kazakhstan,2.108272118
fundamentals,13,Kazakhstan,2.8000734037
opportunities,1,Kazakhstan,1.8181079123
experience,59,Kazakhstan,1.0148337522
overall,17,Kenya,2.0204023156
fundamentals,41,Kenya,2.242462206
opportunities,21,Kenya,1.2307293238
experience,6,Kenya,2.3659555268
overall,71,Kuwait,1.2705289504
fundamentals,72,Kuwait,1.6865501804
opportunities,13,Kuwait,1.4061882843
experience,93,Kuwait,0.3028271567
overall,57,Kyrgyzstan,1.5631383218
fundamentals,63,Kyrgyzstan,1.8456612309
opportunities,4,Kyrgyzstan,1.7104739726
experience,67,Kyrgyzstan,0.850756853
overall,78,Laos,1.2011373789
fundamentals,66,Laos,1.8112659452
opportunities,84,Laos,0.6210391245
experience,84,Laos,0.5609785008
overall,75,Lebanon,1.2259631721
fundamentals,76,Lebanon,1.5493467878
opportunities,20,Lebanon,1.2378731451
experience,83,Lebanon,0.5672859677
overall,91,Lesotho,0.9417588631
fundamentals,86,Lesotho,1.3893109668
opportunities,95,Lesotho,0.4780467174
